waterbody,year,mon,gear,species,len,weight,sex,age,age_strux,lennote
BLACK DAN LAKE,2013,May,BOOM SHOCKER,Walleye,203,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,BOOM SHOCKER,Walleye,183,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,BOOM SHOCKER,Walleye,218,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,BOOM SHOCKER,Walleye,193,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,BOOM SHOCKER,Walleye,544,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,BOOM SHOCKER,Walleye,183,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,BOOM SHOCKER,Walleye,191,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,BOOM SHOCKER,Walleye,203,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,BOOM SHOCKER,Walleye,191,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,BOOM SHOCKER,Walleye,218,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,BOOM SHOCKER,Walleye,221,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,BOOM SHOCKER,Walleye,193,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,BOOM SHOCKER,Walleye,335,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,BOOM SHOCKER,Walleye,498,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,BOOM SHOCKER,Walleye,180,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,BOOM SHOCKER,Walleye,284,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,BOOM SHOCKER,Walleye,544,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,BOOM SHOCKER,Walleye,196,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,BOOM SHOCKER,Walleye,180,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,BOOM SHOCKER,Walleye,165,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,BOOM SHOCKER,Walleye,513,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,BOOM SHOCKER,Walleye,198,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,BOOM SHOCKER,Walleye,180,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,BOOM SHOCKER,Walleye,193,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,BOOM SHOCKER,Walleye,201,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,BOOM SHOCKER,Walleye,163,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,BOOM SHOCKER,Walleye,208,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,BOOM SHOCKER,Walleye,165,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,BOOM SHOCKER,Walleye,160,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,BOOM SHOCKER,Walleye,170,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,BOOM SHOCKER,Walleye,493,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,BOOM SHOCKER,Walleye,188,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,BOOM SHOCKER,Walleye,201,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,BOOM SHOCKER,Walleye,231,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,BOOM SHOCKER,Walleye,493,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,BOOM SHOCKER,Walleye,178,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,BOOM SHOCKER,Walleye,185,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,BOOM SHOCKER,Walleye,513,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,BOOM SHOCKER,Walleye,203,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,BOOM SHOCKER,Walleye,185,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,BOOM SHOCKER,Walleye,206,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,BOOM SHOCKER,Walleye,173,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,BOOM SHOCKER,Walleye,178,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,BOOM SHOCKER,Walleye,246,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,BOOM SHOCKER,Walleye,193,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,BOOM SHOCKER,Walleye,206,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,BOOM SHOCKER,Walleye,318,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,BOOM SHOCKER,Walleye,267,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,BOOM SHOCKER,Walleye,168,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,BOOM SHOCKER,Walleye,163,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,BOOM SHOCKER,Walleye,203,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,BOOM SHOCKER,Walleye,165,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,BOOM SHOCKER,Walleye,152,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,BOOM SHOCKER,Walleye,279,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,BOOM SHOCKER,Walleye,198,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,BOOM SHOCKER,Walleye,447,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,BOOM SHOCKER,Walleye,170,NA,,NA,,Observed length
